perturbation method,metric type,value
adjective_relative_clause,tree_depth,12.7948
adjective_relative_clause,subject_verb_distance,4.288839930107119
adjective_relative_clause,dependent_clause_count,1.8580666666666668
adjective_relative_clause,t_unit_count,1.3024666666666667
adjective_relative_clause,dependent_clauses_per_t_unit,1.5206492918192918
entity_linked_appositive,tree_depth,12.2094
entity_linked_appositive,subject_verb_distance,5.518284600389864
entity_linked_appositive,dependent_clause_count,1.3378666666666668
entity_linked_appositive,t_unit_count,1.2717333333333334
entity_linked_appositive,dependent_clauses_per_t_unit,1.0781766666666666
irrelevant_relative_clause,tree_depth,13.525333333333334
irrelevant_relative_clause,subject_verb_distance,6.555019157088123
irrelevant_relative_clause,dependent_clause_count,2.0434
irrelevant_relative_clause,t_unit_count,1.2938
irrelevant_relative_clause,dependent_clauses_per_t_unit,1.6872176190476191
original,tree_depth,11.82
original,subject_verb_distance,3.3893129770992365
original,dependent_clause_count,1.3478666666666668
original,t_unit_count,1.2682666666666667
original,dependent_clauses_per_t_unit,1.0881603174603174
