model,perturbation method,performance
roberta_large_mnli,adjective_relative_clause,0.8994666666666666
roberta_large_mnli,entity_linked_appositive,0.9018666666666667
roberta_large_mnli,irrelevant_relative_clause,0.9017333333333334
roberta_large_mnli,original,0.9043333333333333
bart_large_mnli,adjective_relative_clause,0.8967333333333334
bart_large_mnli,entity_linked_appositive,0.898
bart_large_mnli,irrelevant_relative_clause,0.8952666666666667
bart_large_mnli,original,0.9027333333333334
deberta_base_mnli,adjective_relative_clause,0.8846
deberta_base_mnli,entity_linked_appositive,0.8844666666666666
deberta_base_mnli,irrelevant_relative_clause,0.8799333333333333
deberta_base_mnli,original,0.8884666666666666
electra_base_mnli,adjective_relative_clause,0.8646666666666667
electra_base_mnli,entity_linked_appositive,0.8715333333333334
electra_base_mnli,irrelevant_relative_clause,0.8651333333333333
electra_base_mnli,original,0.8734666666666666
